City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description,"Rain (inches, last 3 hrs)","Snow (inches, last 3 hrs)"
369,Imeni Babushkina,RU,2020-01-17 23:51:07,59.76,43.13,34.36,92,100,7.81,overcast clouds,0.0,0.0
370,Hambantota,LK,2020-01-17 23:44:04,6.12,81.12,78.51,85,100,16.73,overcast clouds,0.0,0.0
371,Pevek,RU,2020-01-17 23:45:15,69.7,170.31,-17.75,98,54,2.93,broken clouds,0.0,0.0
372,Coahuayana,MX,2020-01-17 23:51:08,18.73,-103.68,86.0,42,20,11.41,few clouds,0.0,0.0
373,Constitucion,CL,2020-01-17 23:43:30,-35.33,-72.42,57.52,88,21,3.18,few clouds,0.0,0.0
374,Tarakan,ID,2020-01-17 23:51:09,3.3,117.63,78.17,89,98,5.66,light rain,1.06,0.0
375,Beringovskiy,RU,2020-01-17 23:51:10,63.05,179.32,29.95,97,100,18.9,snow,0.0,2.19
376,Santa Isabel Do Rio Negro,BR,2020-01-17 23:51:10,-0.41,-65.02,76.03,98,84,2.3,light rain,0.63,0.0
377,Avera,US,2020-01-17 23:44:17,33.19,-82.53,51.8,39,1,4.7,clear sky,0.0,0.0
378,Ruidoso,US,2020-01-17 23:51:11,33.33,-105.67,63.0,39,1,27.51,clear sky,0.0,0.0
379,Lamar,US,2020-01-17 23:51:12,33.67,-95.58,55.4,93,90,10.29,mist,0.0,0.0
380,Tandil,AR,2020-01-17 23:51:13,-37.32,-59.13,72.0,43,0,9.17,clear sky,0.0,0.0
381,Porto Walter,BR,2020-01-17 23:50:57,-8.27,-72.74,75.79,83,99,0.6,overcast clouds,0.0,0.0
382,Kidal,ML,2020-01-17 23:51:15,18.44,1.41,62.24,30,55,13.6,broken clouds,0.0,0.0
383,Hokitika,NZ,2020-01-17 23:49:18,-42.72,170.97,60.57,77,0,11.07,clear sky,0.0,0.0
384,Pangnirtung,CA,2020-01-17 23:48:21,66.15,-65.71,-18.4,61,40,1.3,scattered clouds,0.0,0.0
385,Penzance,GB,2020-01-17 23:48:14,50.12,-5.54,46.99,75,0,11.41,clear sky,0.0,0.0
386,Nouadhibou,MR,2020-01-17 23:51:34,20.93,-17.03,68.0,34,41,14.99,scattered clouds,0.0,0.0
387,Road Town,VG,2020-01-17 23:47:24,18.42,-64.62,78.8,73,20,6.93,few clouds,0.0,0.0
388,Urumqi,CN,2020-01-17 23:51:36,43.8,87.6,6.8,84,0,2.24,clear sky,0.0,0.0
389,Haukipudas,FI,2020-01-17 23:51:36,65.17,25.5,32.0,98,90,6.93,light shower snow,0.0,0.0
